"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Signsymptoms12083","Signsymptoms12083","","","",0,*,"","","","null {[]} {[]}
","SIGN/SYMPTOMS (120.83)","This StructureDefinition contains the Logical Model for the mapped parts of the source SIGN/SYMPTOMS (120.83)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Signsymptoms12083.vuid","Signsymptoms12083.vuid","","","",0,1,"","","","Element {[]} {[]}
","VUID (-99.99)","VUID (-99.99)","","","","","","","","","",,,,,"",,,,"Signsymptoms12083.vuid",0,1,"",""
"Signsymptoms12083.name","Signsymptoms12083.name","","","",0,1,"","","","Element {[]} {[]}
","NAME (-.01)","NAME (-.01)","","","","","","","","","",,,,,"",,,,"Signsymptoms12083.name",0,1,"",""
