"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Immunization999999914","Immunization999999914","","","",0,*,"","","","null {[]} {[]}
","IMMUNIZATION (9999999.14)","This StructureDefinition contains the Logical Model for the mapped parts of the VistA file IMMUNIZATION (9999999.14)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Immunization999999914.name","Immunization999999914.name","","","",0,1,"","","","Coding {[]} {[]}
","NAME (-.01)","NAME (-.01)","","","","","","","","","",,"example","","http://va.gov/fhir/ValueSet/VSVFinferredCVX-vista","",,,,"Immunization999999914.name",0,1,"",""
"Immunization999999914.cvxCode","Immunization999999914.cvxCode","","","",0,1,"","","","Element {[]} {[]}
","CVX CODE (-.03)","CVX CODE (-.03)","","","","","","","","","",,,,,"",,,,"Immunization999999914.cvxCode",0,1,"",""
