"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"OrderedTest6351","OrderedTest6351","","","",0,*,"","","","null {[]} {[]}
","ORDERED TEST (63.51)","This StructureDefinition contains the Logical Model for the mapped parts of the VistA file ORDERED TEST (63.51)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"OrderedTest6351.ien","OrderedTest6351.ien","","","",0,1,"","","","Element {[]} {[]}
","IEN (-.001)","IEN (-.001)","","","","","","","","","",,,,,"",,,,"OrderedTest6351.ien",0,1,"",""
"OrderedTest6351.cprsOrder","OrderedTest6351.cprsOrder","","","",0,1,"","","","Element {[]} {[]}
","CPRS ORDER # (-3)","CPRS ORDER # (-3)","","","","","","","","","",,,,,"",,,,"OrderedTest6351.cprsOrder",0,1,"",""
"OrderedTest6351.disposition","OrderedTest6351.disposition","","","",0,1,"","","","Coding {[]} {[]}
","DISPOSITION (-10)","DISPOSITION (-10)","","","","","","","","","",,"example","","http://va.gov/fhir/ValueSet/VSVFDiagnosticReportLabStatus-vista","",,,,"OrderedTest6351.disposition",0,1,"",""
