"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"PacemakerEquipment6984","PacemakerEquipment6984","","","",0,*,"","","","null {[]} {[]}
","PACEMAKER EQUIPMENT (698.4)","-","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"PacemakerEquipment6984.modelNumbername","PacemakerEquipment6984.modelNumbername","","","",0,1,"","","","Element {[]} {[]}
","MODEL NUMBER/NAME (-.01)","MODEL NUMBER/NAME (-.01)","","","","","","","","","",,,,,"",,,,"PacemakerEquipment6984.modelNumbername",0,1,"",""
"PacemakerEquipment6984.typeOfEquipment","PacemakerEquipment6984.typeOfEquipment","","","",0,1,"","","","Element {[]} {[]}
","TYPE OF EQUIPMENT (-1)","TYPE OF EQUIPMENT (-1)","","","","","","","","","",,,,,"",,,,"PacemakerEquipment6984.typeOfEquipment",0,1,"",""
