"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HealthFactors999999964","HealthFactors999999964","","","",0,*,"","","","null {[]} {[]}
","HEALTH FACTORS (9999999.64)","This StructureDefinition contains the Logical Model for the mapped parts of the source HEALTH FACTORS (9999999.64)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HealthFactors999999964.category","HealthFactors999999964.category","","","",0,1,"","","","Element {[]} {[]}
","CATEGORY (-.03)","CATEGORY (-.03)","","","","","","","","","",,,,,"",,,,"HealthFactors999999964.category",0,1,"",""
"HealthFactors999999964.factor","HealthFactors999999964.factor","","","",0,1,"","","","Coding {[]} {[]}
","FACTOR (-.01)","FACTOR (-.01)","","","","","","","","","",,"preferred","","http://va.gov/fhir/ValueSet/SmokingStatus-vista","",,,,"HealthFactors999999964.factor",0,1,"",""
