"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Exam999999915","Exam999999915","","","",0,*,"","","","null {[]} {[]}
","EXAM (9999999.15)","This StructureDefinition contains the Logical Model for the mapped parts of the VistA file EXAM (9999999.15)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Exam999999915.name","Exam999999915.name","","","",0,1,"","","","Element {[]} {[]}
","NAME (-.01)","NAME (-.01)","","","","","","","","","",,,,,"",,,,"Exam999999915.name",0,1,"",""
"Exam999999915.printName","Exam999999915.printName","","","",0,1,"","","","Element {[]} {[]}
","PRINT NAME (-200)","PRINT NAME (-200)","","","","","","","","","",,,,,"",,,,"Exam999999915.printName",0,1,"",""
"Exam999999915.codeMappings","Exam999999915.codeMappings","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/CodeMappings999999918]]}
","CODE MAPPINGS (-210)","CODE MAPPINGS (-210)","","","","","","","","","",,,,,"",,,,"Exam999999915.codeMappings",0,1,"",""
