"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Contact403","Contact403","","","",0,*,"","","","null {[]} {[]}
","CONTACT (4.03)","-","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Contact403.contact","Contact403.contact","","","",0,1,"","","","Element {[]} {[]}
","CONTACT (-.01)","CONTACT (-.01)","","","","","","","","","",,,,,"",,,,"Contact403.contact",0,1,"",""
"Contact403.phone","Contact403.phone","","","",0,1,"","","","Element {[]} {[]}
","PHONE # (-.03)","PHONE # (-.03)","","","","","","","","","",,,,,"",,,,"Contact403.phone",0,1,"",""
