"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"OperatingRoom1317","OperatingRoom1317","","","",0,*,"","","","null {[]} {[]}
","OPERATING ROOM (131.7)","This StructureDefinition contains the Logical Model for the mapped parts of the source OPERATING ROOM (131.7)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"OperatingRoom1317.name","OperatingRoom1317.name","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/HospitalLocation44]]}
","NAME (-.01)","NAME (-.01)","","","","","","","","","",,,,,"",,,,"OperatingRoom1317.name",0,1,"",""
"OperatingRoom1317.telehone","OperatingRoom1317.telehone","","","",0,1,"","","","Element {[]} {[]}
","TELEHONE (-3)","TELEHONE (-3)","","","","","","","","","",,,,,"",,,,"OperatingRoom1317.telehone",0,1,"",""
"OperatingRoom1317.inactive","OperatingRoom1317.inactive","","","",0,1,"","","","Coding {[]} {[]}
","INACTIVE? (-99)","INACTIVE? (-99)","","","","","","","","","",,"preferred","","http://va.gov/fhir/ValueSet/VSVFOperatingRoomStatus-vista","",,,,"OperatingRoom1317.inactive",0,1,"",""
