"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"LabLoinc953","LabLoinc953","","","",0,*,"","","","null {[]} {[]}
","LAB LOINC (95.3)","This StructureDefinition contains the Logical Model for the mapped parts of the source LAB LOINC (95.3)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"LabLoinc953.code","LabLoinc953.code","","","",0,1,"","","","Element {[]} {[]}
","CODE (-.01)","CODE (-.01)","","","","","","","","","",,,,,"",,,,"LabLoinc953.code",0,1,"",""
"LabLoinc953.component","LabLoinc953.component","","","",0,1,"","","","Element {[]} {[]}
","COMPONENT (-1)","COMPONENT (-1)","","","","","","","","","",,,,,"",,,,"LabLoinc953.component",0,1,"",""
