"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Reactions12081","Reactions12081","","","",0,*,"","","","null {[]} {[]}
","REACTIONS (120.81)","","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Reactions12081.Reaction","Reactions12081.Reaction","","","",0,1,"","","","Element {[]} {[]}
","REACTION (.01)","REACTION (.01)","","","","","","","","","",,,,,"",,,,"Reactions12081.Reaction",0,1,"",""
"Reactions12081.DateEntered","Reactions12081.DateEntered","","","",0,1,"","","","Element {[]} {[]}
","DATE ENTERED (3)","DATE ENTERED (3)","","","","","","","","","",,,,,"",,,,"Reactions12081.DateEntered",0,1,"",""
