"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"UcumCodes7575","UcumCodes7575","","","",0,*,"","","","null {[]} {[]}
","UCUM CODES (757.5)","This StructureDefinition contains the Logical Model for the mapped parts of the VistA file UCUM CODES (757.5)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"UcumCodes7575.display","UcumCodes7575.display","","","",0,1,"","","","Element {[]} {[]}
","DISPLAY (-.01)","DISPLAY (-.01)","","","","","","","","","",,,,,"",,,,"UcumCodes7575.display",0,1,"",""
"UcumCodes7575.ucumCode","UcumCodes7575.ucumCode","","","",0,1,"","","","Element {[]} {[]}
","UCUM CODE (-1)","UCUM CODE (-1)","","","","","","","","","",,,,,"",,,,"UcumCodes7575.ucumCode",0,1,"",""
"UcumCodes7575.description","UcumCodes7575.description","","","",0,1,"","","","Element {[]} {[]}
","DESCRIPTION (-.01)","DESCRIPTION (-.01)","","","","","","","","","",,,,,"",,,,"UcumCodes7575.description",0,1,"",""
