"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"OutpatientEncounter40968","OutpatientEncounter40968","","","",0,*,"","","","null {[]} {[]}
","OUTPATIENT ENCOUNTER (409.68)","This StructureDefinition contains the Logical Model for the mapped parts of the source OUTPATIENT ENCOUNTER (409.68)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"OutpatientEncounter40968.checkOutProcessCompletion","OutpatientEncounter40968.checkOutProcessCompletion","","","",0,1,"","","","Element {[]} {[]}
","CHECK OUT PROCESS COMPLETION (-.07)","CHECK OUT PROCESS COMPLETION (-.07)","","","","","","","","","",,,,,"",,,,"OutpatientEncounter40968.checkOutProcessCompletion",0,1,"",""
"OutpatientEncounter40968.appointmentType","OutpatientEncounter40968.appointmentType","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/AppointmentType4091]]}
","APPOINTMENT TYPE (-.1)","APPOINTMENT TYPE (-.1)","","","","","","","","","",,,,,"",,,,"OutpatientEncounter40968.appointmentType",0,1,"",""
"OutpatientEncounter40968.visitFileEntry","OutpatientEncounter40968.visitFileEntry","","","",0,1,"","","","Element {[]} {[]}
","VISIT FILE ENTRY (-.05)","VISIT FILE ENTRY (-.05)","","","","","","","","","",,,,,"",,,,"OutpatientEncounter40968.visitFileEntry",0,1,"",""
