"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ImmunizationLot999999941","ImmunizationLot999999941","","","",0,*,"","","","null {[]} {[]}
","IMMUNIZATION LOT (9999999.41)","This StructureDefinition contains the Logical Model for the mapped parts of the VistA file IMMUNIZATION LOT (9999999.41)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ImmunizationLot999999941.lotNumber","ImmunizationLot999999941.lotNumber","","","",0,1,"","","","Element {[]} {[]}
","LOT NUMBER (-.01)","LOT NUMBER (-.01)","","","","","","","","","",,,,,"",,,,"ImmunizationLot999999941.lotNumber",0,1,"",""
"ImmunizationLot999999941.manufacturer","ImmunizationLot999999941.manufacturer","","","",0,1,"","","","Element {[]} {[]}
","MANUFACTURER (-.02)","MANUFACTURER (-.02)","","","","","","","","","",,,,,"",,,,"ImmunizationLot999999941.manufacturer",0,1,"",""
"ImmunizationLot999999941.ndcCodeVa","ImmunizationLot999999941.ndcCodeVa","","","",0,1,"","","","Element {[]} {[]}
","NDC CODE (VA) (-.18)","NDC CODE (VA) (-.18)","","","","","","","","","",,,,,"",,,,"ImmunizationLot999999941.ndcCodeVa",0,1,"",""
