"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"AdersA.hospstay","AdersA.hospstay","","","",0,1,"","","","Element {[]} {[]}
","HospStay (-21.21)","HospStay (-21.21)","","","","","","","","","",,,,,"",,,,"AdersA.hospstay",0,1,"",""
"AdersA.hospstaynumdays","AdersA.hospstaynumdays","","","",0,1,"","","","Element {[]} {[]}
","HospStay_NumDays (-21.22)","HospStay_NumDays (-21.22)","","","","","","","","","",,,,,"",,,,"AdersA.hospstaynumdays",0,1,"",""
"AdersA.hospstayname","AdersA.hospstayname","","","",0,1,"","","","Element {[]} {[]}
","HospStay_Name (-21.23)","HospStay_Name (-21.23)","","","","","","","","","",,,,,"",,,,"AdersA.hospstayname",0,1,"",""
"AdersA.hospstaycity","AdersA.hospstaycity","","","",0,1,"","","","Element {[]} {[]}
","HospStay_City (-21.24)","HospStay_City (-21.24)","","","","","","","","","",,,,,"",,,,"AdersA.hospstaycity",0,1,"",""
"AdersA.hospstaystate","AdersA.hospstaystate","","","",0,1,"","","","Element {[]} {[]}
","HospStay_State (-21.25)","HospStay_State (-21.25)","","","","","","","","","",,,,,"",,,,"AdersA.hospstaystate",0,1,"",""
"AdersA.prolonghospstay","AdersA.prolonghospstay","","","",0,1,"","","","Element {[]} {[]}
","ProlongHospStay (-21.3)","ProlongHospStay (-21.3)","","","","","","","","","",,,,,"",,,,"AdersA.prolonghospstay",0,1,"",""
"AdersA.lti","AdersA.lti","","","",0,1,"","","","Element {[]} {[]}
","LTI (-21.4)","LTI (-21.4)","","","","","","","","","",,,,,"",,,,"AdersA.lti",0,1,"",""
"AdersA.dis","AdersA.dis","","","",0,1,"","","","Element {[]} {[]}
","Dis (-21.5)","Dis (-21.5)","","","","","","","","","",,,,,"",,,,"AdersA.dis",0,1,"",""
"AdersA.cabd","AdersA.cabd","","","",0,1,"","","","Element {[]} {[]}
","CA_BD (-21.8)","CA_BD (-21.8)","","","","","","","","","",,,,,"",,,,"AdersA.cabd",0,1,"",""
"AdersA.noa","AdersA.noa","","","",0,1,"","","","Element {[]} {[]}
","NOA (-21.9)","NOA (-21.9)","","","","","","","","","",,,,,"",,,,"AdersA.noa",0,1,"",""
"AdersA.vac2typebrand","AdersA.vac2typebrand","","","",0,1,"","","","Element {[]} {[]}
","Vac2_TypeBrand (-17.21)","Vac2_TypeBrand (-17.21)","","","","","","","","","",,,,,"",,,,"AdersA.vac2typebrand",0,1,"",""
"AdersA.vac2mfgr","AdersA.vac2mfgr","","","",0,1,"","","","Element {[]} {[]}
","Vac2_Mfgr (-17.22)","Vac2_Mfgr (-17.22)","","","","","","","","","",,,,,"",,,,"AdersA.vac2mfgr",0,1,"",""
"AdersA.vac2lot","AdersA.vac2lot","","","",0,1,"","","","Element {[]} {[]}
","Vac2_Lot (-17.23)","Vac2_Lot (-17.23)","","","","","","","","","",,,,,"",,,,"AdersA.vac2lot",0,1,"",""
"AdersA.vac2route","AdersA.vac2route","","","",0,1,"","","","Element {[]} {[]}
","Vac2_Route (-17.24)","Vac2_Route (-17.24)","","","","","","","","","",,,,,"",,,,"AdersA.vac2route",0,1,"",""
"AdersA.vac2site","AdersA.vac2site","","","",0,1,"","","","Element {[]} {[]}
","Vac2_Site (-17.25)","Vac2_Site (-17.25)","","","","","","","","","",,,,,"",,,,"AdersA.vac2site",0,1,"",""
"AdersA.vac2doseinseries","AdersA.vac2doseinseries","","","",0,1,"","","","Element {[]} {[]}
","Vac2_DoseInSeries (-17.26)","Vac2_DoseInSeries (-17.26)","","","","","","","","","",,,,,"",,,,"AdersA.vac2doseinseries",0,1,"",""
"AdersA.vac3typebrand","AdersA.vac3typebrand","","","",0,1,"","","","Element {[]} {[]}
","Vac3_TypeBrand (-17.31)","Vac3_TypeBrand (-17.31)","","","","","","","","","",,,,,"",,,,"AdersA.vac3typebrand",0,1,"",""
"AdersA.vac3mfgr","AdersA.vac3mfgr","","","",0,1,"","","","Element {[]} {[]}
","Vac3_Mfgr (-17.32)","Vac3_Mfgr (-17.32)","","","","","","","","","",,,,,"",,,,"AdersA.vac3mfgr",0,1,"",""
"AdersA.vac3lot","AdersA.vac3lot","","","",0,1,"","","","Element {[]} {[]}
","Vac3_Lot (-17.33)","Vac3_Lot (-17.33)","","","","","","","","","",,,,,"",,,,"AdersA.vac3lot",0,1,"",""
