"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"TiuDocumentDefinition89251","TiuDocumentDefinition89251","","","",0,*,"","","","null {[]} {[]}
","TIU DOCUMENT DEFINITION (8925.1)","This StructureDefinition contains the Logical Model for the mapped parts of the VistA file TIU DOCUMENT DEFINITION (8925.1)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"TiuDocumentDefinition89251.name","TiuDocumentDefinition89251.name","","","",0,1,"","","","Element {[]} {[]}
","NAME (-.01)","NAME (-.01)","","","","","","","","","",,,,,"",,,,"TiuDocumentDefinition89251.name",0,1,"",""
"TiuDocumentDefinition89251.vhaEnterpriseStandardTitle","TiuDocumentDefinition89251.vhaEnterpriseStandardTitle","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/TiuVhaEnterpriseStandardTitle89261]]}
","VHA ENTERPRISE STANDARD TITLE (-1501)","VHA ENTERPRISE STANDARD TITLE (-1501)","","","","","","","","","",,,,,"",,,,"TiuDocumentDefinition89251.vhaEnterpriseStandardTitle",0,1,"",""
