"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Billclaims399","Billclaims399","","","",0,*,"","","","null {[]} {[]}
","BILL/CLAIMS (399)","This StructureDefinition contains the Logical Model for the mapped parts of the source BILL/CLAIMS (399)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Billclaims399.procedures","Billclaims399.procedures","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Procedures3990304]]}
","PROCEDURES (-304)","PROCEDURES (-304)","","","","","","","","","",,,,,"",,,,"Billclaims399.procedures",0,1,"",""
"Billclaims399.ptfEntryNumber","Billclaims399.ptfEntryNumber","","","",0,1,"","","","Element {[]} {[]}
","PTF ENTRY NUMBER (-.08)","PTF ENTRY NUMBER (-.08)","","","","","","","","","",,,,,"",,,,"Billclaims399.ptfEntryNumber",0,1,"",""
