"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"WkldCode64","WkldCode64","","","",0,*,"","","","null {[]} {[]}
","WKLD CODE (64)","This StructureDefinition contains the Logical Model for the mapped parts of the VistA file WKLD CODE (64)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"WkldCode64.wkldCodeLabSection","WkldCode64.wkldCodeLabSection","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/WkldCodeLabSect6421]]}
","WKLD CODE LAB SECTION (-13)","WKLD CODE LAB SECTION (-13)","","","","","","","","","",,,,,"",,,,"WkldCode64.wkldCodeLabSection",0,1,"",""
"WkldCode64.defaultLoincCode","WkldCode64.defaultLoincCode","","","",0,1,"","","","Element {[]} {[]}
","DEFAULT LOINC CODE (-25)","DEFAULT LOINC CODE (-25)","","","","","","","","","",,,,,"",,,,"WkldCode64.defaultLoincCode",0,1,"",""
