"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"OrderedTest6352","OrderedTest6352","","","",0,*,"","","","null {[]} {[]}
","ORDERED TEST (63.52)","This StructureDefinition contains the Logical Model for the mapped parts of the source ORDERED TEST (63.52)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"OrderedTest6352.ien","OrderedTest6352.ien","","","",0,1,"","","","Element {[]} {[]}
","IEN (-.001)","IEN (-.001)","","","","","","","","","",,,,,"",,,,"OrderedTest6352.ien",0,1,"",""
"OrderedTest6352.cprsOrder","OrderedTest6352.cprsOrder","","","",0,1,"","","","Element {[]} {[]}
","CPRS ORDER # (-3)","CPRS ORDER # (-3)","","","","","","","","","",,,,,"",,,,"OrderedTest6352.cprsOrder",0,1,"",""
"OrderedTest6352.disposition","OrderedTest6352.disposition","","","",0,1,"","","","Coding {[]} {[]}
","DISPOSITION (-10)","DISPOSITION (-10)","","","","","","","","","",,"preferred","","http://va.gov/fhir/ValueSet/DiagnosticReportLabStatus-vista","",,,,"OrderedTest6352.disposition",0,1,"",""
