"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"PersonClass89321","PersonClass89321","","","",0,*,"","","","null {[]} {[]}
","PERSON CLASS (8932.1)","This StructureDefinition contains the Logical Model for the mapped parts of the source PERSON CLASS (8932.1)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"PersonClass89321.x12Code","PersonClass89321.x12Code","","","",0,1,"","","","Element {[]} {[]}
","X12 CODE (-6)","X12 CODE (-6)","","","","","","","","","",,,,,"",,,,"PersonClass89321.x12Code",0,1,"",""
"PersonClass89321.classification","PersonClass89321.classification","","","",0,1,"","","","Element {[]} {[]}
","CLASSIFICATION (-1)","CLASSIFICATION (-1)","","","","","","","","","",,,,,"",,,,"PersonClass89321.classification",0,1,"",""
