"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"LaboratoryTest60","LaboratoryTest60","","","",0,*,"","","","null {[]} {[]}
","LABORATORY TEST (60)","-","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"LaboratoryTest60.nationalVaLabCode","LaboratoryTest60.nationalVaLabCode","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/WkldCode64]]}
","NATIONAL VA LAB CODE (-64)","NATIONAL VA LAB CODE (-64)","","","","","","","","","",,,,,"",,,,"LaboratoryTest60.nationalVaLabCode",0,1,"",""
"LaboratoryTest60.name","LaboratoryTest60.name","","","",0,1,"","","","Element {[]} {[]}
","NAME (-.01)","NAME (-.01)","","","","","","","","","",,,,,"",,,,"LaboratoryTest60.name",0,1,"",""
"LaboratoryTest60.sitespecimen","LaboratoryTest60.sitespecimen","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/Sitespecimen6001]]}
","SITE/SPECIMEN (-100)","SITE/SPECIMEN (-100)","","","","","","","","","",,,,,"",,,,"LaboratoryTest60.sitespecimen",0,1,"",""
