"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"AppointmentType4091","AppointmentType4091","","","",0,*,"","","","null {[]} {[]}
","APPOINTMENT TYPE (409.1)","This StructureDefinition contains the Logical Model for the mapped parts of the source APPOINTMENT TYPE (409.1)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"AppointmentType4091.name","AppointmentType4091.name","","","",0,1,"","","","Element {[]} {[]}
","NAME (-.01)","NAME (-.01)","","","","","","","","","",,,,,"",,,,"AppointmentType4091.name",0,1,"",""
"AppointmentType4091.description","AppointmentType4091.description","","","",0,1,"","","","Element {[]} {[]}
","DESCRIPTION (-10)","DESCRIPTION (-10)","","","","","","","","","",,,,,"",,,,"AppointmentType4091.description",0,1,"",""
