"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Cpt81","Cpt81","","","",0,*,"","","","null {[]} {[]}
","CPT (81)","This StructureDefinition contains the Logical Model for the mapped parts of the source CPT (81)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Cpt81.cptCode","Cpt81.cptCode","","","",0,1,"","","","Element {[]} {[]}
","CPT CODE (-.01)","CPT CODE (-.01)","","","","","","","","","",,,,,"",,,,"Cpt81.cptCode",0,1,"",""
"Cpt81.shortName","Cpt81.shortName","","","",0,1,"","","","Element {[]} {[]}
","SHORT NAME (-2)","SHORT NAME (-2)","","","","","","","","","",,,,,"",,,,"Cpt81.shortName",0,1,"",""
