"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"PersonClass20005","PersonClass20005","","","",0,*,"","","","null {[]} {[]}
","PERSON CLASS (200.05)","-","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"PersonClass20005.expirationDate","PersonClass20005.expirationDate","","","",0,1,"","","","Element {[]} {[]}
","EXPIRATION DATE (-3)","EXPIRATION DATE (-3)","","","","","","","","","",,,,,"",,,,"PersonClass20005.expirationDate",0,1,"",""
"PersonClass20005.effectiveDate","PersonClass20005.effectiveDate","","","",0,1,"","","","Element {[]} {[]}
","EFFECTIVE DATE (-2)","EFFECTIVE DATE (-2)","","","","","","","","","",,,,,"",,,,"PersonClass20005.effectiveDate",0,1,"",""
"PersonClass20005.personClass","PersonClass20005.personClass","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/PersonClass89321]]}
","Person Class (-.01)","Person Class (-.01)","","","","","","","","","",,,,,"",,,,"PersonClass20005.personClass",0,1,"",""
