"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Mycobacterium6337","Mycobacterium6337","","","",0,*,"","","","null {[]} {[]}
","MYCOBACTERIUM (63.37)","This StructureDefinition contains the Logical Model for the mapped parts of the VistA file MYCOBACTERIUM (63.37)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Mycobacterium6337.mycobacterium","Mycobacterium6337.mycobacterium","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/EtiologyField612]]}
","MYCOBACTERIUM (-.01)","MYCOBACTERIUM (-.01)","","","","","","","","","",,,,,"",,,,"Mycobacterium6337.mycobacterium",0,1,"",""
"Mycobacterium6337.fungusyeast","Mycobacterium6337.fungusyeast","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://va.gov/fhir/StructureDefinition/EtiologyField612]]}
","FUNGUS/YEAST (-.01)","FUNGUS/YEAST (-.01)","","","","","","","","","",,,,,"",,,,"Mycobacterium6337.fungusyeast",0,1,"",""
