"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Non5505","Non5505","","","",0,*,"","","","null {[]} {[]}
","NON (55.05)","-","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Non5505.vaMedsOrderNumber","Non5505.vaMedsOrderNumber","","","",0,1,"","","","Element {[]} {[]}
","VA MEDS - ORDER NUMBER (-7)","VA MEDS - ORDER NUMBER (-7)","","","","","","","","","",,,,,"",,,,"Non5505.vaMedsOrderNumber",0,1,"",""
"Non5505.vaMedsDisclaimer","Non5505.vaMedsDisclaimer","","","",0,1,"","","","Element {[]} {[]}
","VA MEDS - DISCLAIMER (-10)","VA MEDS - DISCLAIMER (-10)","","","","","","","","","",,,,,"",,,,"Non5505.vaMedsDisclaimer",0,1,"",""
"Non5505.vaMedsClinic","Non5505.vaMedsClinic","","","",0,1,"","","","Element {[]} {[]}
","VA MEDS - CLINIC (-13)","VA MEDS - CLINIC (-13)","","","","","","","","","",,,,,"",,,,"Non5505.vaMedsClinic",0,1,"",""
