"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Comments120826","Comments120826","","","",0,*,"","","","null {[]} {[]}
","COMMENTS (120.826)","","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Comments120826.DatetimeCommentEntered","Comments120826.DatetimeCommentEntered","","","",0,1,"","","","Element {[]} {[]}
","DATE/TIME COMMENT ENTERED (.01)","DATE/TIME COMMENT ENTERED (.01)","","","","","","","","","",,,,,"",,,,"Comments120826.DatetimeCommentEntered",0,1,"",""
"Comments120826.UserEntering","Comments120826.UserEntering","","","",0,1,"","","","Element {[]} {[]}
","USER ENTERING (1)","USER ENTERING (1)","","","","","","","","","",,,,,"",,,,"Comments120826.UserEntering",0,1,"",""
"Comments120826.Comments","Comments120826.Comments","","","",0,1,"","","","Element {[]} {[]}
","COMMENTS (2)","COMMENTS (2)","","","","","","","","","",,,,,"",,,,"Comments120826.Comments",0,1,"",""
